## Target rRNA:uniformis_23S
## Probe set designed for: dorei_23S
## Total length of target rRNA uniformis_23S: 2878
## Total length of probe-target alignment: 2889
## Number of mismatches in probe-target alignment: 263
#target_ID	target_start	target_end	probe_ID	length_alignment	num_of_mismatches	ratio
uniformis_23S	1	68	dorei_23S_56	68	4	0.0588235294118
uniformis_23S	69	118	dorei_23S_55	50	4	0.08
uniformis_23S	119	168	dorei_23S_54	52	14	0.269230769231
uniformis_23S	169	219	dorei_23S_53	51	1	0.0196078431373
uniformis_23S	220	269	dorei_23S_52	50	2	0.04
uniformis_23S	270	319	dorei_23S_51	50	14	0.28
uniformis_23S	320	369	dorei_23S_50	50	10	0.2
uniformis_23S	370	419	dorei_23S_49	50	9	0.18
uniformis_23S	420	469	dorei_23S_48	50	0	0.0
uniformis_23S	470	519	dorei_23S_47	50	3	0.06
uniformis_23S	520	569	dorei_23S_46	50	3	0.06
uniformis_23S	570	619	dorei_23S_45	50	9	0.18
uniformis_23S	620	668	dorei_23S_44	50	13	0.26
uniformis_23S	669	718	dorei_23S_43	50	6	0.12
uniformis_23S	719	768	dorei_23S_42	50	4	0.08
uniformis_23S	769	818	dorei_23S_41	50	2	0.04
uniformis_23S	819	868	dorei_23S_40	50	0	0.0
uniformis_23S	869	918	dorei_23S_39	50	8	0.16
uniformis_23S	919	968	dorei_23S_38	50	5	0.1
uniformis_23S	969	1018	dorei_23S_37	50	5	0.1
uniformis_23S	1019	1068	dorei_23S_36	50	7	0.14
uniformis_23S	1069	1118	dorei_23S_35	50	1	0.02
uniformis_23S	1119	1168	dorei_23S_34	50	1	0.02
uniformis_23S	1169	1215	dorei_23S_33	50	10	0.2
uniformis_23S	1216	1265	dorei_23S_32	50	9	0.18
uniformis_23S	1266	1315	dorei_23S_31	50	1	0.02
uniformis_23S	1316	1365	dorei_23S_30	50	0	0.0
uniformis_23S	1366	1415	dorei_23S_29	50	3	0.06
uniformis_23S	1416	1465	dorei_23S_28	50	8	0.16
uniformis_23S	1466	1515	dorei_23S_27	50	11	0.22
uniformis_23S	1516	1564	dorei_23S_26	50	13	0.26
uniformis_23S	1565	1614	dorei_23S_25	50	7	0.14
uniformis_23S	1615	1664	dorei_23S_24	50	4	0.08
uniformis_23S	1665	1714	dorei_23S_23	50	1	0.02
uniformis_23S	1715	1761	dorei_23S_22	50	11	0.22
uniformis_23S	1762	1811	dorei_23S_21	50	1	0.02
uniformis_23S	1812	1861	dorei_23S_20	50	4	0.08
uniformis_23S	1862	1910	dorei_23S_19	50	5	0.1
uniformis_23S	1911	1960	dorei_23S_18	50	0	0.0
uniformis_23S	1961	2010	dorei_23S_17	50	0	0.0
uniformis_23S	2011	2060	dorei_23S_16	50	0	0.0
uniformis_23S	2061	2110	dorei_23S_15	50	4	0.08
uniformis_23S	2111	2160	dorei_23S_14	50	7	0.14
uniformis_23S	2161	2210	dorei_23S_13	50	7	0.14
uniformis_23S	2211	2260	dorei_23S_12	50	6	0.12
uniformis_23S	2261	2310	dorei_23S_11	50	2	0.04
uniformis_23S	2311	2360	dorei_23S_10	50	4	0.08
uniformis_23S	2361	2410	dorei_23S_9	50	2	0.04
uniformis_23S	2411	2460	dorei_23S_8	50	0	0.0
uniformis_23S	2461	2510	dorei_23S_7	50	1	0.02
uniformis_23S	2511	2560	dorei_23S_6	50	0	0.0
uniformis_23S	2561	2610	dorei_23S_5	50	0	0.0
uniformis_23S	2611	2660	dorei_23S_4	50	1	0.02
uniformis_23S	2661	2710	dorei_23S_3	50	1	0.02
uniformis_23S	2711	2760	dorei_23S_2	50	2	0.04
uniformis_23S	2761	2810	dorei_23S_1	50	2	0.04
uniformis_23S	2811	2878	dorei_23S_0	68	11	0.161764705882
