## Target rRNA:aerofaciens_23S
## Probe set designed for: dorei_23S
## Total length of target rRNA aerofaciens_23S: 2973
## Total length of probe-target alignment: 3029
## Number of mismatches in probe-target alignment: 1004
#target_ID	target_start	target_end	probe_ID	length_alignment	num_of_mismatches	ratio
aerofaciens_23S	1	68	dorei_23S_0	68	14	0.205882352941
aerofaciens_23S	69	118	dorei_23S_1	50	11	0.22
aerofaciens_23S	119	181	dorei_23S_2	63	36	0.571428571429
aerofaciens_23S	182	233	dorei_23S_3	52	15	0.288461538462
aerofaciens_23S	234	292	dorei_23S_4	59	20	0.338983050847
aerofaciens_23S	293	371	dorei_23S_5	80	52	0.65
aerofaciens_23S	372	421	dorei_23S_6	50	22	0.44
aerofaciens_23S	422	475	dorei_23S_7	58	30	0.51724137931
aerofaciens_23S	476	525	dorei_23S_8	50	21	0.42
aerofaciens_23S	526	574	dorei_23S_9	50	6	0.12
aerofaciens_23S	575	629	dorei_23S_10	55	12	0.218181818182
aerofaciens_23S	630	675	dorei_23S_11	50	15	0.3
aerofaciens_23S	676	719	dorei_23S_12	51	18	0.352941176471
aerofaciens_23S	720	771	dorei_23S_13	52	17	0.326923076923
aerofaciens_23S	772	821	dorei_23S_14	50	15	0.3
aerofaciens_23S	822	871	dorei_23S_15	50	16	0.32
aerofaciens_23S	872	921	dorei_23S_16	50	11	0.22
aerofaciens_23S	922	970	dorei_23S_17	51	17	0.333333333333
aerofaciens_23S	971	1020	dorei_23S_18	50	22	0.44
aerofaciens_23S	1021	1070	dorei_23S_19	50	14	0.28
aerofaciens_23S	1071	1118	dorei_23S_20	50	17	0.34
aerofaciens_23S	1119	1168	dorei_23S_21	50	9	0.18
aerofaciens_23S	1169	1218	dorei_23S_22	50	11	0.22
aerofaciens_23S	1219	1271	dorei_23S_23	57	21	0.368421052632
aerofaciens_23S	1272	1320	dorei_23S_24	50	19	0.38
aerofaciens_23S	1321	1369	dorei_23S_25	50	20	0.4
aerofaciens_23S	1370	1419	dorei_23S_26	50	16	0.32
aerofaciens_23S	1420	1468	dorei_23S_27	51	17	0.333333333333
aerofaciens_23S	1469	1526	dorei_23S_28	60	31	0.516666666667
aerofaciens_23S	1526	1562	dorei_23S_29	50	35	0.7
aerofaciens_23S	1563	1605	dorei_23S_30	50	25	0.5
aerofaciens_23S	1606	1662	dorei_23S_31	57	28	0.491228070175
aerofaciens_23S	1663	1710	dorei_23S_32	50	18	0.36
aerofaciens_23S	1711	1760	dorei_23S_33	50	15	0.3
aerofaciens_23S	1761	1834	dorei_23S_34	74	34	0.459459459459
aerofaciens_23S	1835	1885	dorei_23S_35	51	12	0.235294117647
aerofaciens_23S	1886	1935	dorei_23S_36	50	13	0.26
aerofaciens_23S	1936	1987	dorei_23S_37	52	17	0.326923076923
aerofaciens_23S	1988	2037	dorei_23S_38	50	0	0.0
aerofaciens_23S	2038	2087	dorei_23S_39	50	10	0.2
aerofaciens_23S	2088	2137	dorei_23S_40	50	15	0.3
aerofaciens_23S	2138	2188	dorei_23S_41	51	12	0.235294117647
aerofaciens_23S	2189	2237	dorei_23S_42	50	18	0.36
aerofaciens_23S	2238	2287	dorei_23S_43	50	20	0.4
aerofaciens_23S	2288	2347	dorei_23S_44	60	22	0.366666666667
aerofaciens_23S	2348	2397	dorei_23S_45	50	15	0.3
aerofaciens_23S	2398	2448	dorei_23S_46	51	16	0.313725490196
aerofaciens_23S	2449	2498	dorei_23S_47	50	17	0.34
aerofaciens_23S	2499	2548	dorei_23S_48	50	6	0.12
aerofaciens_23S	2549	2598	dorei_23S_49	50	7	0.14
aerofaciens_23S	2599	2648	dorei_23S_50	50	6	0.12
aerofaciens_23S	2649	2698	dorei_23S_51	50	3	0.06
aerofaciens_23S	2699	2748	dorei_23S_52	50	17	0.34
aerofaciens_23S	2749	2797	dorei_23S_53	50	15	0.3
aerofaciens_23S	2798	2847	dorei_23S_54	50	14	0.28
aerofaciens_23S	2848	2904	dorei_23S_55	57	24	0.421052631579
aerofaciens_23S	2905	2973	dorei_23S_56	69	25	0.36231884058
